InvoiceNo,TransactionDate,Customer_ID,Planet,UpdatedDate
536365,2010-12-01 00:00:00,17850,Abydos,2018-06-21 10:03:55
536366,2010-12-01 00:00:00,17850,Abydos,2018-06-21 10:03:55
536367,2010-12-01 00:00:00,13047,Abydos,2018-06-21 10:03:55
536368,2010-12-01 00:00:00,13047,Abydos,2018-06-21 10:03:55
536369,2010-12-01 00:00:00,13047,Abydos,2018-06-21 10:03:55
536370,2010-12-01 00:00:00,12583,Altair IV,2018-06-21 10:03:55
536371,2010-12-01 09:00:00,13748,Abydos,2018-06-21 10:03:55
536372,2010-12-01 00:00:00,17850,Abydos,2018-06-21 10:03:55
536373,2010-12-01 00:00:00,17850,Abydos,2018-06-21 10:03:55
536374,2010-12-01 00:00:00,15100,Abydos,2018-06-21 10:03:55
536375,2010-12-01 00:00:00,17850,Abydos,2018-06-21 10:03:55
536376,2010-12-01 00:00:00,15291,Abydos,2018-06-21 10:03:55
536377,2010-12-01 00:00:00,17850,Abydos,2018-06-21 10:03:55
536378,2010-12-01 09:37:00,14688,Abydos,2018-06-21 10:03:55
536380,2010-12-01 09:41:00,17809,Abydos,2018-06-21 10:03:55
536381,2010-12-01 09:41:00,15311,Abydos,2018-06-21 10:03:55
536382,2010-12-01 00:00:00,16098,Abydos,2018-06-21 10:03:55
536384,2010-12-01 00:00:00,18074,Abydos,2018-06-21 10:03:55
536385,2010-12-01 00:00:00,17420,Abydos,2018-06-21 10:03:55
536386,2010-12-01 00:00:00,16029,Abydos,2018-06-21 10:03:55
536387,2010-12-01 00:00:00,16029,Abydos,2018-06-21 10:03:55
536388,2010-12-01 00:00:00,16250,Abydos,2018-06-21 10:03:55
536389,2010-12-01 00:00:00,12431,Anarres,2018-06-21 10:03:55
536390,2010-12-01 00:00:00,17511,Abydos,2018-06-21 10:03:55
536392,2010-12-01 10:29:00,13705,Abydos,2018-06-21 10:03:55
536393,2010-12-01 00:00:00,13747,Abydos,2018-06-21 10:03:55
536394,2010-12-01 00:00:00,13408,Abydos,2018-06-21 10:03:55
536395,2010-12-01 00:00:00,13767,Abydos,2018-06-21 10:03:55
536396,2010-12-01 00:00:00,17850,Abydos,2018-06-21 10:03:55
536397,2010-12-01 00:00:00,17924,Abydos,2018-06-21 10:03:55
536398,2010-12-01 00:00:00,13448,Abydos,2018-06-21 10:03:55
536399,2010-12-01 10:52:00,17850,Abydos,2018-06-21 10:03:55
536400,2010-12-01 00:00:00,13448,Abydos,2018-06-21 10:03:55
536401,2010-12-01 00:00:00,15862,Abydos,2018-06-21 10:03:55
536402,2010-12-01 00:00:00,15513,Abydos,2018-06-21 10:03:55
536403,2010-12-01 00:00:00,12791,Arrakis,2018-06-21 10:03:55
536404,2010-12-01 00:00:00,16218,Abydos,2018-06-21 10:03:55
536405,2010-12-01 00:00:00,14045,Abydos,2018-06-21 10:03:55
536406,2010-12-01 00:00:00,17850,Abydos,2018-06-21 10:03:55
536407,2010-12-01 00:00:00,17850,Abydos,2018-06-21 10:03:55
536408,2010-12-01 00:00:00,14307,Abydos,2018-06-21 10:03:55
536409,2010-12-01 00:00:00,17908,Abydos,2018-06-21 10:03:55
536412,2010-12-01 00:00:00,17920,Abydos,2018-06-21 10:03:55
536415,2010-12-01 11:57:00,12838,Abydos,2018-06-21 10:03:55
536416,2010-12-01 00:00:00,13255,Abydos,2018-06-21 10:03:55
536420,2010-12-01 00:00:00,16583,Abydos,2018-06-21 10:03:55
536423,2010-12-01 12:08:00,18085,Abydos,2018-06-21 10:03:55
536425,2010-12-01 00:00:00,13758,Abydos,2018-06-21 10:03:55
536437,2010-12-01 00:00:00,13694,Abydos,2018-06-21 10:03:55
536446,2010-12-01 12:15:00,15983,Abydos,2018-06-21 10:03:55
536460,2010-12-01 00:00:00,14849,Abydos,2018-06-21 10:03:55
536463,2010-12-01 00:00:00,14849,Abydos,2018-06-21 10:03:55
536464,2010-12-01 00:00:00,17968,Abydos,2018-06-21 10:03:55
536466,2010-12-01 00:00:00,14849,Abydos,2018-06-21 10:03:55
536477,2010-12-01 00:00:00,16210,Abydos,2018-06-21 10:03:55
536488,2010-12-01 00:00:00,17897,Abydos,2018-06-21 10:03:55
536500,2010-12-01 00:00:00,17377,Abydos,2018-06-21 10:03:55
536502,2010-12-01 00:00:00,16552,Abydos,2018-06-21 10:03:55
536508,2010-12-01 12:38:00,17181,Abydos,2018-06-21 10:03:55
536514,2010-12-01 12:40:00,17951,Abydos,2018-06-21 10:03:55
536520,2010-12-01 00:00:00,14729,Abydos,2018-06-21 10:03:55
536521,2010-12-01 00:00:00,12748,Abydos,2018-06-21 10:03:55
536522,2010-12-01 12:49:00,15012,Abydos,2018-06-21 10:03:55
536523,2010-12-01 00:00:00,12868,Abydos,2018-06-21 10:03:55
536524,2010-12-01 00:00:00,17572,Abydos,2018-06-21 10:03:55
536525,2010-12-01 12:54:00,14078,Abydos,2018-06-21 10:03:55
536526,2010-12-01 00:00:00,14001,Abydos,2018-06-21 10:03:55
536527,2010-12-01 13:04:00,12662,Athas,2018-06-21 10:03:55
536528,2010-12-01 00:00:00,15525,Abydos,2018-06-21 10:03:55
536529,2010-12-01 00:00:00,14237,Abydos,2018-06-21 10:03:55
536530,2010-12-01 00:00:00,17905,Abydos,2018-06-21 10:03:55
536531,2010-12-01 00:00:00,15485,Abydos,2018-06-21 10:03:55
536532,2010-12-01 13:24:00,12433,Bara Magna,2018-06-21 10:03:55
536533,2010-12-01 00:00:00,16955,Abydos,2018-06-21 10:03:55
536534,2010-12-01 13:33:00,15350,Abydos,2018-06-21 10:03:55
536535,2010-12-01 00:00:00,15605,Abydos,2018-06-21 10:03:55
536536,2010-12-01 00:00:00,18144,Abydos,2018-06-21 10:03:55
536537,2010-12-01 00:00:00,15922,Abydos,2018-06-21 10:03:55
536538,2010-12-01 13:54:00,14594,Abydos,2018-06-21 10:03:55
